HORAS AL MES	DIVISION	AREA DE PERSONAL	SEXO	EDAD DEL EMPLEADO	CATEGORIA	SALARIOS MINIMOS
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ODONTOLOGO	Masculino	(30 - 40]	Joven	(03 - 04]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(210, 240]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ESPECIALISTA	Masculino	(30 - 40]	Joven	(12 - 13]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ESPECIALISTA	Femenino	(30 - 40]	Joven	(12 - 13]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ODONTOLOGO	Masculino	(30 - 40]	Joven	(03 - 04]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ASESOR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ANALISTA I	Femenino	(30 - 40]	Joven	(06 - 07]
(150, 180]	SUPERMERCADOS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ODONTOLOGO	Femenino	(20 - 30]	Joven	(03 - 04]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	CAMILLERO	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ESPECIALISTA	Femenino	(30 - 40]	Joven	(12 - 13]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	QUIMICO FARMACEUTICO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ODONTOLOGO	Masculino	(20 - 30]	Joven	(03 - 04]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	CAMILLERO	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ENFERMERA	Femenino	(30 - 40]	Joven	(03 - 04]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ODONTOLOGO	Femenino	(20 - 30]	Joven	(03 - 04]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SALUD IPS	ENFERMERA	Femenino	(30 - 40]	Joven	(03 - 04]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SALUD IPS	TERAPISTA	Masculino	(20 - 30]	Joven	(02 - 03]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(... - 20	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(30 - 40]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	AUXILIAR	Masculino	(20 - 30]	Joven	(01 - 02]
(150, 180]	DROGUERIAS	AUXILIAR	Femenino	(20 - 30]	Joven	(01 - 02]
(150, 180]	SUPERMERCADOS	CAJERO	Femenino	(... - 20	Joven	(01 - 02]
